date,1. open,2. high,3. low,4. close,5. volume
2020-04-29 11:10:00,90.76,90.77,90.6979,90.75,14271.0
2020-04-29 11:11:00,90.73,90.82,90.71,90.82,10316.0
2020-04-29 11:12:00,90.86,90.92,90.845,90.895,10772.0
2020-04-29 11:13:00,90.895,90.9,90.775,90.84,20658.0
2020-04-29 11:14:00,90.845,90.92,90.845,90.875,13694.0
2020-04-29 11:15:00,90.875,90.89,90.74,90.78,19795.0
2020-04-29 11:16:00,90.7797,90.81,90.73,90.81,4690.0
2020-04-29 11:17:00,90.8,90.84,90.775,90.795,3817.0
2020-04-29 11:18:00,90.81,90.81,90.67,90.67,4200.0
2020-04-29 11:19:00,90.65,90.66,90.5642,90.65,8531.0
2020-04-29 11:20:00,90.65,90.67,90.6,90.6,10682.0
2020-04-29 11:21:00,90.6,90.62,90.55,90.6,7606.0
2020-04-29 11:22:00,90.63,90.6747,90.6,90.63,6646.0
2020-04-29 11:23:00,90.64,90.675,90.59,90.6,27840.0
2020-04-29 11:24:00,90.6,90.605,90.495,90.52,11648.0
2020-04-29 11:25:00,90.54,90.54,90.46,90.47,9778.0
2020-04-29 11:26:00,90.465,90.465,90.38,90.39,9832.0
2020-04-29 11:27:00,90.38,90.41,90.33,90.38,19539.0
2020-04-29 11:28:00,90.375,90.515,90.37,90.45,15694.0
2020-04-29 11:29:00,90.46,90.49,90.4,90.42,13477.0
2020-04-29 11:30:00,90.44,90.44,90.34,90.34,8845.0
2020-04-29 11:31:00,90.36,90.38,90.31,90.31,8788.0
2020-04-29 11:32:00,90.3,90.355,90.265,90.34,20340.0
2020-04-29 11:33:00,90.34,90.42,90.34,90.36,5119.0
2020-04-29 11:34:00,90.37,90.38,90.31,90.36,8549.0
2020-04-29 11:35:00,90.35,90.39,90.33,90.36,10572.0
2020-04-29 11:36:00,90.36,90.45,90.36,90.45,5025.0
2020-04-29 11:37:00,90.44,90.44,90.315,90.315,7682.0
2020-04-29 11:38:00,90.36,90.4,90.32,90.35,8028.0
2020-04-29 11:39:00,90.35,90.39,90.305,90.305,8015.0
2020-04-29 11:40:00,90.32,90.33,90.3,90.3099,6397.0
2020-04-29 11:41:00,90.3053,90.34,90.23,90.26,11973.0
2020-04-29 11:42:00,90.2692,90.3,90.2113,90.2113,8568.0
2020-04-29 11:43:00,90.215,90.23,90.175,90.23,10795.0
2020-04-29 11:44:00,90.23,90.235,90.14,90.16,30537.0
2020-04-29 11:45:00,90.18,90.19,90.135,90.15,13928.0
2020-04-29 11:46:00,90.14,90.155,90.08,90.13,7307.0
2020-04-29 11:47:00,90.13,90.17,90.11,90.14,9670.0
2020-04-29 11:48:00,90.14,90.15,90.06,90.08,15817.0
2020-04-29 11:49:00,90.08,90.15,90.07,90.15,4408.0
2020-04-29 11:50:00,90.16,90.28,90.1572,90.28,12451.0
2020-04-29 11:51:00,90.27,90.31,90.2,90.25,30210.0
2020-04-29 11:52:00,90.265,90.34,90.265,90.2781,9736.0
2020-04-29 11:53:00,90.25,90.355,90.232,90.355,5123.0
2020-04-29 11:54:00,90.36,90.36,90.28,90.32,10401.0
2020-04-29 11:55:00,90.33,90.41,90.325,90.38,13098.0
